Estado;Nome;Cidade;Endereço
AL;Chama;Arapiraca - AL;Rodovia Al 220 Km 04 Arnon de Melo
AL;Clinica de Doencas Renais Hospital Santa Rita;Palmeira Dos Indios - AL;Avenida Medeiros Neto 76	
AL;Hospital Ortopedico de Maceio;Maceió - AL;Rua Angelo Neto 194
AL;Hospital Universitario Prof Alberto Antunes;Maceió - AL;Av Lourival Melo Mota 	
AL;Hospital Veredas;Maceió - AL;Av Fernandes Lima km5
AL;Hospital Vida;Maceió - AL;Rua Dep Eliseu Teixeira 488
AL;Irra;Arapiraca - AL;Rua Fernandes Lima 502
AL;Renal Center;Maceió - AL;Rua Silvio Sandes Torres Junior	48
AL;Santa Casa de Misericordia de Maceio;Maceió - AL;Rua Barao de Maceio 346
AL;Santa Casa de Misericordia de Sao Miguel dos Campos;São Miguel Dos Campos - AL;Praça José Inácio 43
AL;Unirim;Maceió - AL;Av Aryosvaldo Pereira Cintra	152		
AL;Unirim Al;Maceió - AL;Rua Hugo Correa Paes 253
