Estado;Nome;Cidade;Endereço
DF;INEB;Brasília - DF;St. Sudoeste Superquadra Sudoeste 305
DF;Centro Brasiliense de Nefrologia & Diálise;Brasília - DF;SGAS II SGAS 611 - Asa Sul
DF;Nefrosstar Brasília;Brasília - DF;SGAS II St. de Grandes Áreas Sul 614 Edifício Vitrium Quadra 614
DF;Clínica de Nefrologia Renal Vida;Brasília - DF;St. M CNM 1 Condomínio do Edificio Luiz Rocha
DF;DaVita Ceilândia Tratamento Renal;Brasília - DF;St. M CNM 1 loja 1
DF;Ibrane Insituto Brasiliense de Nefrologia;Brasília - DF;ADE Q 3 s/n
DF;Nephron Tagauatinga;Brasília - DF;Sgcv Lt 10/11 Ae
DF;Nefrointensimed;Brasília - DF;Linea Vitta Centro Clínico SGAS 616
DF;Renal Fisio DF;Brasília - DF;ST SHLN BL F EN 10
DF;WIR Insituto;Brasília - DF;SHLN Bloco G Lote 09 Asa Norte
DF;Cine-Centro Integrado de Nefrologia;Brasília - DF;SHCS Cj A Bloco A
DF;CBN - Centro Brasiliense de Nefrologia;Brasília - DF;SQSW 300 bloco P apto 606 - Asa Sul
DF;CLINICA DE NEFROLOGIA DAVITA UNIDADE ÁGUAS CLARAS;Brasília - DF;Av. Sibipiruna -  lote 1 - Águas Claras
DF;DAVITA CEILÂNDIA SERVICOS DE NEFROLOGIA LTDA.;Brasília - DF;Quadra CNM 01 - Bloco 1 - Lote 03 - loja 01 - 1º pavimento - loja 1
DF;DAVITA SERVIÇOS DE NEFROLOGIA ALVORADA LTDA;Brasília - DF;SEP/sul 710/910 Ed. Vital Brasília LT A Sala 01 Térreo - Asa Sul
DF;DAVITA SERVIÇOS DE NEFROLOGIA ASA SUL LTDA.;Brasília - DF;SGAS 616 CONJUNTO A CENTRO LINEA VITTA - Asa Sul
DF;DAVITA SERVIÇOS DE NEFROLOGIA ASA SUL LTDA. (FILIAL GAMA);Brasília - DF;QUADRA 2 CONJUNTO A LOTE 10 - Gama
DF;DAVITA SERVIÇOS DE NEFROLOGIA JK LTDA;Brasília - DF;Setor C Norte- Área Especial 13- Lote 8/10 - Taguatinga Norte
DF;DAVITA SERVIÇOS DE NEFROLOGIA PACINI LTDA.;Brasília - DF;SEPS - Entrequadras 715/915 - cj. ?A? bloco ?E? Clínica 01 térreo - Asa Sul
DF;INVICTUS NEFRO LTDA;Brasília - DF;QUADRA 301 RUA D CONJUNTO 3 LOTES 02 A 04 LOJA 01 A 06 - Águas Claras Norte
DF;NEfroclínicas Brasília - Serviços de nefrologia e diálise SA;Brasília - DF;SIG Quadra 04 lote 75 - Setor de Indústrias Gráficas
DF;Politécnica Saúde Ultramed;Brasília - DF;CL 416 Lote G Av. Santa Maria - Santa Maria
DF;Renal Care - Prevenção e Tratamento;Brasília - DF;SGAS915LOTE 69-A E70-A SL:122 A 130 EDIFICIO ADVANCE 1 - Asa Sul
DF;CLINICA RENAL VIDA;Brasília - DF;QUADRA CNM 1 BLOCO I LOTE 2 S/N - Ceilândia Sul
DF;Davita;Brasília - DF;SEPS 715 915 CONJ A BLOCO E SALAS DE 101 110 E 201 210 - Asa Sul
DF;Davita;Brasília - DF;QNA 16 LOTE 14 LOJA 01 SALAS 101 E 102	101102 - Taguatinga Norte
DF;DAVITA AGUAS CLARAS;Brasília - DF;AV SIBIPIRUNA LOTE 14	S/N - Sul Águas Claras
DF;DAVITA ALVORADA;Brasília - DF;SEP SUL 710 910 ED VITAL BRASILIA LOTE A SALA	1 - Asa Sul
DF;DAVITA BRASIL PATICIPACOES;Brasília - DF;QUADRA 4	02 - Sobradinho
DF;DAVITA CEILANDIA;Brasília - DF;CNM 1 BLOCO I	S/N - Ceilândia Centro
DF;DAVITA JK;Brasíliav;SETOR C NORTE AREA ESPECIAL 8 A 10 TERREO	4 - Taguatinga Norte
DF;HOSPITAL DA CRIANCA DE BRASILIA JOSE ALENCAR HCB;Brasília - DF;AENW 3 LOTE A	4 - Asa Norte
DF;HOSPITAL DE BASE DO DISTRITO FEDERAL;Brasília - DF;SMHS QUADRA 101 AREA ESPECIAL	01 - Asa Sul
DF;HOSPITAL REGIONAL DE CEILANDIA HRC;Brasília - DF;AREA ESPECIAL	1 - Ceilândia Sul
DF;HOSPITAL SAO MATEUS;Brasília - DF;SRES QUADRA 02 AREA ESPECIAL	1 - Cruzeiro Velho
DF;HOSPITAL UNIVERSITARIO DE BRASILIA;Brasília - DF;SGAN QUADRA 605	S/N - Asa Norte
DF;HRG;Brasília - DF;AREA ESPECIAL	S/N - Gama
DF;HRS;Brasília - DF;QUADRA 12 AREA RESERVADA	01 - Sobradinho
DF;HRSM;Brasília - DF;AC 102	S/N - Santa Maria
DF;HRT HOSPITAL REGIONAL DE TAGUATINGA;Brasília - DF;SETOR C NORTE	24 - Taguatinga
DF;IBRANE;Brasília - DF;A ADE QUADRA 3 CONJUNTO A	23 - Área de Desenvolvimento
DF;INSTITUTO DE CARDIOLOGIA E TRANSPLANTES DO DISTRITO FEDERAL;Brasília - DF;ESTRADA PARQUE CONTORNO DO BOSQUE	S/N - Cruzeiro Novo
DF;MSF SERVICOS MEDICOS;Brasília - DF;QS612 CONJUNTO E LOTE	1 - Samambaia Norte
DF;NEPHRON BRASILIA SERVICOS MEDICOS;Brasília - DF;QUADRA CSG 05	0 - Taguatinga
DF;NEPHRON BRASILIA SERVICOS MEDICOS;Brasília - DF;SGAS 910	S/N - Asa Sul
DF;Renal Care;Brasília - DF;SGAS 915	S/N - Asa Sul
DF;SERENA CLINICA RENAL;Brasília - DF;QUADRA 301 RUA D CONJUNTO 3	0204 - Águas Claras
DF;ULTRAMED;Brasília - DF;CL 416 LOTE G	S/N - Santa Maria
