Ano;Estado;Pacientes;Óbitos
2022;Acre;0;0
2022;Alagoas;0;0
2022;Amazonas;0;0
2022;Bahia;0;0
2022;Ceará;2;0
2022;Distrito Federal;2;0
2022;Espirito Santo;0;0
2022;Goiás;0;0
2022;Maranhão;0;0
2022;Mato Grosso;0;0
2022;Mato Grosso do Sul;0;0
2022;Minas Gerais;3;0
2022;Pará;1;0
2022;Paraíba;1;0
2022;Paraná;3;0
2022;Pernambuco;3;0
2022;Piauí;0;0
2022;Rio de Janeiro;8;1
2022;Rio Grande do Norte;0;0
2022;Rio Grande do Sul;15;0
2022;Rondonia;0;0
2022;Santa Catarina;0;0
2022;São Paulo;34;2
2022;Sergipe;0;0
2022;Tocantins;0;0
