Ano;estado;quantidade
2019;totalBrasil;320
2019;Acre;0
2019;Alagoas;3
2019;Amazonas;0
2019;Bahia;0
2019;Ceará;11
2019;Distrito Federal;3
2019;Espírito Santo;7
2019;Goiás;0
2019;Maranhão;4
2019;Mato grosso;0
2019;Mato Grosso do sul;2
2019;Minas Gerais;12
2019;Pará;6
2019;Paraíba;1
2019;Paraná;19
2019;Pernambuco;12
2019;Piauí;1
2019;Rio de Janeiro;12
2019;Rio Grande do Norte;2
2019;Rio Grande do Sul;14
2019;Rondonia;1
2019;Santa Catarina;2
2019;São Paulo;208
2019;Sergipe;0
2019;Tocantins;0
Ano;estado;Ingresso;Mortalidade
2019;total- Brasil;297;17
2019;Acre;0;0
2019;Alagoas;0;0
2019;Amazonas;0;0
2019;Bahia;0;0
2019;Ceará;19;0
2019;Distrito Federal;0;0
2019;Espírito Santo;0;3
2019;Goiás;0;0
2019;Maranhão;1;0
2019;Mato grosso;0;0
2019;Mato Grosso do sul;2;0
2019;Minas Gerais;34;1
2019;Pará;7;0
2019;Paraíba;5;3
2019;Paraná;3;0
2019;Pernambuco;30;2
2019;Piauí;1;0
2019;Rio de Janeiro;0;0
2019;Rio Grande do Norte;3;0
2019;Rio Grande do Sul;35;0
2019;Rondonia;0;0
2019;Santa Catarina;1;0
2019;São Paulo;156;8
2019;Sergipe;0;0
2019;Tocantins;0;0
