Estado;Nome;Cidade;Endereço
MT;Clínica de Tratamento Renal;Sinop - MT;Av. dos Flamboyants 2128
MT;Instituto de Nefrologia e Oncologia do Araguaia;Barra do Garças - MT;Tv. Ipiranga
MT;Centro de Nefrologia;Rondonópolis - MT;Rua Efrem Camisnchi 197
MT;INEMATT Instituto Nefrológico;Cuiabá - MT;Rua São Caetano 441
MT;Clínica Clinesp;Cuiabá - MT;Rua Corumbá 249
MT;Hospital e Maternidade Renato Sucupira Sapezal;Sapezal - MT;Av. Pirambóia 960
MT;Centro de Tratamento do Rim / MT;Cáceres - MT;Av. 7 de Setembro - S/N - Centro
MT;Clínica de Tratamento Renal Ltda.;Cuiabá - MT;Rua das Orquídeas - 399 - Jardim Cuiabá
MT;Inemat - Instituto de Nefrologia de Mato Grosso;Várzea Grande - MT;RUA ESPÍRITO SANTO - S/N - Nova Várzea Grande
MT;CENEC;Cuiabá - MT;SENADOR FILINTO MULLER	2001 - Quilombo
MT;CENTRO DE NEFROLOGIA;Rondonópolis - MT;RUA EFREM CAMINSCHI	197 - Vila Birigui
MT;CLINEMAT;Cuiabá - MT;FERNANDO CORREA DA COSTA	564 - Poção
MT;Clínica de Doenças Renais;Cuiabá - MT;AV GENERAL VALE	144 - Centro
MT;Clínica de Tratamento Renal;Cuiabá - MT;DAS ORQUIDEAS	399 - Jardim Cuiabá
MT;CTR;Cáceres - MT;AVN SETE DE SETEMBRO	65 - Centro
MT;CTR Sinop;Sinop - MT;AVENIDA FLAMBOYANTS	2128 - Jardim Paraíso
MT;HOSPITAL DE CANCER DE MATO GROSSO;Cuiabá - MT;HISTORIADOR RUBENS DE MENDONCA	5500 - CPA I
MT;HOSPITAL E MATERNIDADE SAO MATEUS;Cuiabá - MT;ACLIMACAO	335 - Bosque da Saúde
MT;HOSPITAL E PRONTO SOCORRO MUNICIPAL DE VARZEA GRANDE;Várzea Grande - MT;AVENIDA ALZIRA SANTANA	S/N - Centro Sul
MT;HOSPITAL ESTADUAL SANTA CASA;Cuiabá - MT;CORONEL PEIXOTO	141 - Bandeirantes
MT;HOSPITAL GERAL E MATERNIDADE DE CUIABA;Cuiabá - MT;RUA TREZE DE JUNHO	2101 - Centro
MT;HOSPITAL REGIONAL JORGE DE ABREU;Sinop - MT;R DAS CAVIUNAS	1759 - Setor Comercial
MT;INA INSTITUTO DE NEFROLOGIA DO ARAGUAIA;Barra do Garças - MT;IPIRANGA	49 - Setor Sul II
MT;INEMAT JARDIM CUIABA;Cuiabá - MT;RUA DAS ORQUIDEAS	399 - Jardim Cuiabá
MT;INEMAT TANGARA DA SERRA;Tangará da Serra - MT;BENEDITO PEREIRA DE OLIVEIRA	S/N - Jardim Europa
MT;INEMATT INSTITUTO NEFROLOGICO;Primavera do Leste - MT;RUA SAO CAETANO	441 - Centro
MT;INEMATT INSTITUTO NEFROLOGICO LTDA;Várzea Grande - MT;RUA ESPIRITO SANTO	300 - Nova Várzea Grande
MT;METROPOLITANO HOSPITAL ESTADUAL LOUSITE FERREIRA DA SILVA;Várzea Grandev;AVENIDA DOM ORLANDO CHAVES	S/N - Cristo Rei
MT;PRONEFRON NEFROLOGIA CLINICA E TERAPIA RENAL SUBSTITUTIVA;Rondonópolis - MT;AVENIDA DOM BOSCO	199 - Jardim Guanabara
