Estado;Nome;Cidade;Endereço
MS;Clínica do Rim CENED;Dourados - MS; Av. Weimar Gonçalves Torres 1175 Centro 
MS;Nefrocárdio;Nova Andradina - MS;R. Walter Hubacher 1759  Centro 
MS;Renato Pontelli Nefrologista Três; Lagoas - MS;R. Advogado Sábino José da Costa 225 São Jorge
MS;Nefrologia;Campo Grande - MS;Jardim Centenario
MS;Departamento de Clínica Médica Pioneiros;Campo Grande - MS;
MS;Hiperrim;Campo Grande - MS; Rua Rui Barbosa 3782
MS;DaVita Campo Grande Tratamento Renal Diálise MS;Campo Grande;R. Treze de Maio - 4361 São Francisco
MS;Instituto de Saúde do Rim Alexandre Cabral;Campo Grande - MS; Av. Afonso Pena 5723 - Santa Fe
MS;DaVita Pantanal;Campo Grande - MS;R. Antônio Maria Coelho 1675 - Centro 
MS;Santa Casa : Nefrologia;Campo Grande - MS;R. Eduardo Santos Pereira - 88 - Centro
MS;Med Rim Serviços Médicos;Campo Grande - MS;R. Rui Barbosa - 3782 - Centro
MS;ASSOCIAÇÃO BENEFICENTE DE CAMPO GRANDE MS;Campo Grande - MS;RUA EDUARDO SANTOS PEREIRA 88 - Centro
MS;CENED CENTRO DE NEFROLOGIA DE DOURADOS LTDA;Dourados - MS;Av. Weimar Gonçalves Torres - 1175 - Centro
MS;Hospital Regional de Coxim Dr. Alvaro Fontoura Silva;Coxim - MS;Rua Gaspar Reis Coelho - São Judas Tadeu
MS;CENED;Dourados - MS;AVENIDA WEIMAR GONCALVES TORRES	1185 - Centro
MS;CENTRO DE HEMODIALISE DE BATAGUASSU;Bataguassu - MS;RUA RIBAS DO RIO PARDO	175 - Centro
MS;CLINICA DO RIM PONTA PORA;Ponta Porã - MS;RUA JORGE ROBERTO SALOMAO	1528 - Jardim Ipanema
MS;DAVITA;Campo Grande - MS;TREZE DE MAIO	4361 - São Francisco
MS;EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN;Campo Grande - MS;SENADOR FILINTO MULLER	355 - Vila Ipiranga
MS;FUNDACAO HOSPITALAR DE COSTA RICA;Costa Rica - MS;AVENIDA JOSE FERREIRA DA COSTA	2222 - Centro
MS;HOSPITAL DA CIDADE;Aquidauana - MS;RUA MANOEL ANTONIO PAES DE BARROS	1424 - Guanandy
MS;HOSPITAL EVANGELICO DR SRA GOLDSBY KING;Dourados - MS;HILDA BERGO DUARTE	81 - Centro
MS;HOSPITAL NOSSA SENHORA AUXILIADORA;Três Lagoas - MS;AV ROSARIO CONGRO	1533 - Colinos
MS;HOSPITAL REGIONAL DE MATO GROSSO DO SUL;Campo Grande - MS;AVENIDA ENGENHEIRO LUTHERO LOPES	36 - Aero Rancho V
MS;HOSPITAL REGIONAL DR ALVARO FONTOURA SILVA;Coxim - MS;AV GASPAR RIES COELHO	361 - São Judas Tadeu
MS;INEPAR;Paranaíba - MS;R SELMA MARTINS DE OLIVEIRA	335 - Ipê Branco I
MS;MEDRIM;Campo Grande - MS;RUI BARBOSA	3782 - Centro
MS;PRO RENAL;Campo Grande - MS;ANTONIO MARIA COELHO	1675 - Vila Cidade
MS;PRONCOR;Campo Grande - MS;RAUL PIRES BARBOSA	1800 - Cachoeira II
MS;RENAL MED;Corumbá - MS;R QUINZE DE NOVEMBRO	854 - Centro
MS;Santa Casa;Campo Grande - MS;EDUARDO SANTOS PEREIRA	88 - Centro
MS;UCM UNIDADE CRITICA MEDICA;Dourados - MS;RUA OLIVEIRA MARQUES	2771 - Jardim Central
