Estado;Nome;Cidade;Endereço
SP;Centro de Terapia Nefrológica;São Paulo - SP;Av. Brigadeiro Luís Antônio 4667
SP;Unidade Einstein Vila Mariana;São Paulo - SP;R. Me. Cabrini 462
SP;SONESP;São Paulo - SP;Rua Machado Bitencourt 205
SP;Hospital do Rim;São Paulo - SP;Rua Borges Lagoa 960
SP;Centro Médico Negrologia Hospital Brasil;Santo André - SP;Av. Doze de Outubro 100
SP;Hospital Municipal da Vila Santa Catarina;São Paulo - SP;Av. Santa Catarina 2785 
SP;Hospital Estadual de Diadema;Diadema - SP;Rua José Bonifácio 1641
SP;Hospital IFOR;São Bernardo do Campo - SP;Rua Américo Brasiliense 596
SP;UNICA;São Paulo - SP;Rua Voluntários da Pátria 3981
SP;Clínica Nefrológica do Itaim Paulista;São Paulo - SP;Av. Marechal Tito 5843
SP;Hospital Central de Guaianases;São Paulo - SP;Rua Cabo José Teixeira 189
SP;Santa Casa SJC;São José dos Campos - SP;Rua Dolzani Ricardo 620
SP;Policlin Hemodiálise Nefrologia;São José dos Campos - SP;Jardim Nove de Julho
